scientificName,catalogNumber,recordedBy,eventDate,year,country,stateProvince,decimalLatitude,decimalLongitude
"Culex Linnaeus, 1758",BMNH(E)966156,['Colin Ryder Vardy'],,1958,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966155,['Colin Ryder Vardy'],,1958,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966154,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.9141,-1.4986
"Culex Linnaeus, 1758",BMNH(E)966144,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.913127,-1.495699
"Culex Linnaeus, 1758",BMNH(E)966143,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.913127,-1.495699
"Culex Linnaeus, 1758",BMNH(E)966142,['Colin Ryder Vardy'],,1952,United Kingdom,England,50.913127,-1.495699
"Culex Linnaeus, 1758",BMNH(E)966139,['Colin Ryder Vardy'],,1958,United Kingdom,England,50.913127,-1.495699
"Culex Linnaeus, 1758",BMNH(E)966138,['Colin Ryder Vardy'],,1953,United Kingdom,England,50.913127,-1.495699
Aedes,BMNH(E)965982,['Colin Ryder Vardy'],,1954,United Kingdom,England,50.913127,-1.495699
Aedes,BMNH(E)965976,['Colin Ryder Vardy'],,1960,United Kingdom,England,50.913127,-1.495699
Aedes,BMNH(E)965975,['Colin Ryder Vardy'],,1954,United Kingdom,England,50.913127,-1.495699
